matrix,spada_cycles,ip_cycles,op_cycles,multirow_cycles,flexagon_op_cycles,flexagon_gust_cycles
fv1,76505,60915,65657,60915,228337,376336
flowmeter0,58603,71470,57964,71470,179717,322263
delaunay_n13,58227,59307,60887,59307,152713,293914
ca-GrQc,37908,50325,37908,37908,128887,292964
ca-CondMat,629851,629907,646666,630112,1489331,3260635
poisson3Da,1366145,1358274,1511020,1358317,1943715,4215690
bcspwr06,9329,8522,9329,9329,18117,35852
tols4000,22407,22396,22772,22772,40781,84470
rdb5000,29540,29447,35578,35578,88800,150809
psse1,35723,37605,46848,37604,,
gemat1,30569,28785,33074,28785,,
