cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz,config,matrix_size,density_A,density_B,run
2793491,10728708,,0.045442,0.191406,57574,4651746,5750682,3.840609,0.84898,0.0,244.523943,0.009579,228.714168,8.245484,0.0,0.157422,6703552,6709952,1048537,brl-1,1024,10,10,0
1272765,2697071,,0.024998,0.125,22236,1484747,2088537,2.119064,0.484787,0.0,249.5969,9e-06,243.543669,3.768772,0.0,0.05889,3032222,3370816,969020,brl-1,1024,5,5,0
41822,168141,,0.048517,0.15625,6527,91651,132817,4.020396,1.976113,0.0,243.487805,0.0,235.41459,3.881115,0.0,0.293554,98310,105088,60563,brl-1,256,10,10,0
14489,41593,,0.035286,0.117188,3773,22543,38955,2.870661,1.866174,0.0,246.737042,0.0,242.524398,1.750224,0.0,0.161157,25623,52032,30763,brl-1,256,5,5,0
338314,1327492,,0.046827,0.195312,20772,697118,914826,3.923846,1.388435,0.0,244.003789,0.001295,232.709294,6.088122,0.0,0.215764,816662,826624,260479,brl-1,512,10,10,0
142623,330549,,0.027561,0.117188,8937,189949,287925,2.317642,0.812309,0.0,248.917454,0.0,244.091914,2.581533,0.0,0.086858,300734,413952,188301,brl-1,512,5,5,0
503223,10728708,,0.29741,0.5625,57275,4528356,5647050,21.319987,23.896388,0.0,181.843262,0.080261,136.504782,27.793716,0.011538,3.410071,6703552,6709952,1048537,brl-16,1024,10,10,0
165433,2697071,,0.236496,0.410156,23314,1439177,2053598,16.303102,25.604722,0.0,195.438613,0.000677,183.897312,16.004751,0.000611,1.895208,3032222,3370816,969020,brl-16,1024,5,5,0
10148,168141,,0.34436,0.566406,6268,84263,131506,16.568881,54.153331,0.0,168.329227,0.001182,186.828932,8.358691,0.295231,2.994974,98310,105088,60563,brl-16,256,10,10,0
3151,41593,,0.280148,0.449219,3307,21094,38501,13.199937,47.695652,0.0,183.063472,0.0,198.783561,3.234529,0.24754,2.216757,25623,52032,30763,brl-16,256,5,5,0
67826,1327492,,0.356563,0.640625,20645,669047,898018,19.572023,47.928921,0.0,166.176393,0.020405,164.312417,17.202503,0.132147,3.419854,816662,826624,260479,brl-16,512,10,10,0
22883,330549,,0.252225,0.4375,8966,179018,284292,14.445178,35.820697,0.0,191.271206,0.0,198.547,7.481274,0.101691,1.852248,300734,413952,188301,brl-16,512,5,5,0
1399235,10728708,,0.091553,0.25,57291,4617699,5719528,7.667553,2.536632,0.0,232.907405,0.021668,204.130202,15.003812,0.0,0.538467,6703552,6709952,1048537,brl-2,1024,10,10,0
637478,2697071,,0.050136,0.152344,22323,1479631,2083051,4.230846,1.379555,0.0,243.158431,5.8e-05,232.11062,7.01543,0.0,0.182146,3032222,3370816,969020,brl-2,1024,5,5,0
21157,168141,,0.098405,0.207031,6450,90818,132189,7.947299,5.820579,0.0,230.602685,0.0,217.848608,6.630335,0.0,0.680059,98310,105088,60563,brl-2,256,10,10,0
7396,41593,,0.070822,0.152344,3781,22447,38892,5.623716,4.948756,0.0,237.419686,0.0,230.699838,2.954029,0.0,0.354786,25623,52032,30763,brl-2,256,5,5,0
170020,1327492,,0.094716,0.21875,20800,689990,908881,7.807858,4.142783,0.0,231.738566,0.003788,212.074209,10.856676,0.0,0.632208,816662,826624,260479,brl-2,512,10,10,0
71692,330549,,0.055305,0.152344,8978,189125,287152,4.610682,2.249735,0.0,241.788261,0.0,233.331041,4.638007,0.0,0.276502,300734,413952,188301,brl-2,512,5,5,0
717372,10728708,,0.186704,0.363281,56637,4548558,5659872,14.955571,9.389994,0.0,209.054307,0.045367,164.012926,24.102478,0.000121,1.79569,6703552,6709952,1048537,brl-4,1024,10,10,0
320343,2697071,,0.101553,0.203125,22575,1465438,2069152,8.419322,4.676309,0.0,229.989034,0.000178,212.134759,11.995218,0.0,0.589721,3032222,3370816,969020,brl-4,1024,5,5,0
11109,168141,,0.231072,0.417969,6380,87893,130267,15.135566,27.139887,0.0,196.454676,0.0,190.26276,9.017643,0.030786,2.089117,98310,105088,60563,brl-4,256,10,10,0
3864,41593,,0.159225,0.289062,3756,22234,38676,10.764234,18.910455,0.0,214.37707,0.0,211.546066,3.947981,0.010352,1.088509,25623,52032,30763,brl-4,256,5,5,0
86943,1327492,,0.20301,0.355469,20503,676889,898495,15.268532,16.570374,0.0,204.025637,0.01141,178.799397,16.667403,0.0,2.065928,816662,826624,260479,brl-4,512,10,10,0
36260,330549,,0.11345,0.207031,9117,186917,285172,9.116078,7.648483,0.0,226.857887,0.0,215.262493,7.271153,0.0,0.768229,300734,413952,188301,brl-4,512,5,5,0
504556,10728708,,0.296016,0.53125,56982,4525350,5643870,21.263662,23.646099,0.0,182.191481,0.079694,136.651662,27.799295,0.011117,3.407697,6703552,6709952,1048537,brl-8,1024,10,10,0
174675,2697071,,0.21078,0.347656,23240,1441865,2052682,15.44051,20.041752,0.0,202.015606,0.000406,186.153972,16.095515,9.2e-05,1.696368,3032222,3370816,969020,brl-8,1024,5,5,0
10152,168141,,0.330931,0.585938,6188,84018,131097,16.562352,51.506206,0.0,170.896375,0.001084,186.958136,8.363771,0.281915,2.932723,98310,105088,60563,brl-8,256,10,10,0
3151,41593,,0.279223,0.453125,3362,21140,38514,13.199937,47.607426,0.0,183.381466,0.0,198.071723,3.180895,0.26563,2.066011,25623,52032,30763,brl-8,256,5,5,0
67916,1327492,,0.350902,0.640625,20381,669005,897772,19.546086,46.679766,0.0,167.406694,0.023279,164.481433,17.183418,0.110622,3.399582,816662,826624,260479,brl-8,512,10,10,0
23016,330549,,0.247103,0.402344,9005,179438,283877,14.361705,34.582986,0.0,192.552963,0.0,198.769943,7.640989,0.090024,1.809915,300734,413952,188301,brl-8,512,5,5,0
