matrix,base_cycles,+tiling_cycles,+folding_cycles,+dynmap_cycles,full_cycles
bcspwr06,11591,5206,5206,5188,1623
bcsstk03,472,317,317,279,192
bcsstk18,744203,424635,353874,333021,252619
ca-GrQc,700658,374948,238116,179161,143274
fv1,92983,106877,106877,104554,39683
gemat1,86625,70696,63539,63728,28372
lp_d2q06c,100428,107265,81271,53743,49364
lp_woodw,229215,210355,156359,152541,81622
olm5000,17299,11988,11988,8407,6909
pcb3000,544273,415508,268944,199962,194612
rosen10,96494,109824,94606,48357,49070
tols4000,27777,17840,15288,13976,6514
