matrix,ideal_cycles,ideal_util,segfold_cycles,segfold_util,zero_cycles,zero_util,speedup_vs_zero
bcspwr06,1493,0.366583,1522,0.342557,1737,0.219454,1.14
bcsstk03,186,0.237042,189,0.228815,269,0.132159,1.42
bcsstk18,179283,0.272343,176297,0.292829,199032,0.225769,1.13
ca-CondMat,992102,0.163848,995560,0.163785,1010472,0.141894,1.01
ca-GrQc,122623,0.0977,124116,0.095219,141328,0.077659,1.14
delaunay_n13,20298,0.483181,20227,0.462316,22534,0.234265,1.11
flowmeter0,22670,0.447519,22639,0.534324,30179,0.214799,1.33
fv1,43327,0.302665,42865,0.313209,44418,0.242616,1.04
lp_d2q06c,38544,0.149329,38980,0.151835,49706,0.112739,1.28
lp_woodw,95499,0.026008,96189,0.025368,102222,0.021821,1.06
olm5000,6635,0.134656,6905,0.126177,9117,0.079762,1.32
pcb3000,135663,0.070669,147131,0.06603,196360,0.036533,1.33
poisson3Da,809869,0.242556,811220,0.250433,985823,0.168422,1.22
rdb5000,11179,0.235459,11167,0.255242,13741,0.147449,1.23
rosen10,39975,0.216066,40920,0.213655,62562,0.136789,1.53
tols4000,6093,0.108715,6131,0.104716,6449,0.103415,1.05
