cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz,config,matrix_size,density_A,density_B,run
2839410,10728708,,0.047301,0.214844,138439,9339459,9827510,3.778499,2.761667,0.0,243.889513,1.8e-05,245.126321,0.008156,0.0,0.050748,6703552,6709952,1048537,window-1,1024,10,10,0
1276603,2697071,,0.025387,0.140625,41003,2274244,2527587,2.112694,0.85461,0.0,249.49869,0.0,249.824246,0.001976,0.0,0.027339,3032222,3370816,969020,window-1,1024,5,5,0
43014,168141,,0.049826,0.164062,11131,127346,155859,3.908983,3.296555,0.0,243.178965,0.0,244.147882,0.007974,0.0,0.211048,98310,105088,60563,window-1,256,10,10,0
14902,41593,,0.036023,0.136719,5336,27090,40346,2.791102,2.483022,0.0,246.589116,0.0,247.056435,0.003355,0.0,0.114146,25623,52032,30763,window-1,256,5,5,0
345648,1327492,,0.048355,0.203125,40533,1103409,1222366,3.840589,2.951653,0.0,243.611567,0.000229,244.797679,0.009226,0.0,0.086851,816662,826624,260479,window-1,512,10,10,0
143741,330549,,0.028051,0.121094,14145,258835,314796,2.299615,1.218407,0.0,248.79925,0.0,249.140524,0.001885,0.0,0.057485,300734,413952,188301,window-1,512,5,5,0
735463,10728708,,0.181147,0.382812,56481,4551949,5659131,14.587692,8.787271,0.0,210.420375,0.039455,166.08707,23.63639,2.9e-05,1.687881,6703552,6709952,1048537,window-16,1024,10,10,0
321027,2697071,,0.101273,0.199219,22705,1452835,2056389,8.401384,4.596068,0.0,230.060771,0.0001,212.19542,11.999542,0.0,0.592682,3032222,3370816,969020,window-16,1024,5,5,0
11513,168141,,0.211616,0.375,6299,88035,129590,14.604447,22.781899,0.0,201.470598,0.0,192.141492,8.886997,0.007209,1.952315,98310,105088,60563,window-16,256,10,10,0
3883,41593,,0.156967,0.277344,3749,22139,38492,10.711563,18.305176,0.0,214.95931,0.0,211.956992,3.807108,0.007468,1.045841,25623,52032,30763,window-16,256,5,5,0
89810,1327492,,0.193979,0.347656,20513,675165,895592,14.781116,15.064369,0.0,206.330743,0.007338,180.942234,16.281171,0.0,1.93199,816662,826624,260479,window-16,512,10,10,0
36435,330549,,0.112665,0.207031,8997,185310,283355,9.072293,7.460244,0.0,227.05245,0.0,215.48157,7.240703,0.0,0.771319,300734,413952,188301,window-16,512,5,5,0
717372,10728708,,0.186704,0.363281,56637,4548558,5659872,14.955571,9.389994,0.0,209.054307,0.045367,164.012926,24.102478,0.000121,1.79569,6703552,6709952,1048537,window-32,1024,10,10,0
320343,2697071,,0.101553,0.203125,22575,1465438,2069152,8.419322,4.676309,0.0,229.989034,0.000178,212.134759,11.995218,0.0,0.589721,3032222,3370816,969020,window-32,1024,5,5,0
11109,168141,,0.231072,0.417969,6380,87893,130267,15.135566,27.139887,0.0,196.454676,0.0,190.26276,9.017643,0.030786,2.089117,98310,105088,60563,window-32,256,10,10,0
3864,41593,,0.159225,0.289062,3756,22234,38676,10.764234,18.910455,0.0,214.37707,0.0,211.546066,3.947981,0.010352,1.088509,25623,52032,30763,window-32,256,5,5,0
86943,1327492,,0.20301,0.355469,20503,676889,898495,15.268532,16.570374,0.0,204.025637,0.01141,178.799397,16.667403,0.0,2.065928,816662,826624,260479,window-32,512,10,10,0
