cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz,matrix
1623,22900,,0.296613,0.519531,2285,6491,19008,14.109673,48.7061,0.0,177.292668,0.099199,184.349969,2.585952,0.0,2.378312,5300,482300,14110,bcspwr06
464794,4127524,,0.104076,0.324219,1217034,2576993,3828050,8.88033,0.163231,0.0,242.977816,0.0,151.482166,1.77526,0.0,19.15441,186936,4127524,2355437,ca-CondMat
64107,488852,,0.089396,0.285156,131034,189383,326089,7.625564,0.135118,0.0,243.794453,0.0,164.101377,2.36698,0.0,7.032165,28980,488852,158504,ca-GrQc
19730,308986,,0.612255,1.039062,57501,102256,273875,15.66072,108.626305,0.0,120.729093,0.289154,170.01186,2.234972,1.182869,8.902382,49094,25136128,169396,delaunay_n13
23006,471189,,0.793709,1.183594,105965,107601,362962,20.481135,106.322177,0.0,112.542424,0.117621,154.825567,8.277102,0.476615,6.676519,67391,40771555,183151,flowmeter0
39683,760384,,0.495895,0.910156,214140,120180,561016,19.161455,54.715344,0.0,168.524986,2.647708,132.655974,42.266487,0.269284,7.972784,85264,51243664,234256,fv1
28372,318739,,0.34073,1.222656,74320,53315,207008,11.23428,32.591252,0.0,191.244043,1.088397,165.263605,16.158713,0.275659,5.932046,46591,14396619,94297,gemat1
846414,11768678,,0.162969,0.398438,6739817,3982280,10792154,13.904163,0.180067,0.0,242.088443,0.0,87.696146,0.663669,3.3e-05,20.214081,352762,11768678,2957530,poisson3Da
28338,425668,,0.41803,1.0625,80629,77708,320975,15.021102,54.802456,0.0,173.296986,0.291199,171.857859,11.612817,0.048239,4.060731,57376,51351520,182906,psse1
9732,175616,,0.458428,0.769531,36009,41204,145458,18.045212,78.753494,0.0,144.523736,0.003596,142.178072,5.175195,0.062577,18.247431,29600,9264800,87608,rdb5000
6514,56716,,0.126433,1.125,3077,4537,27752,8.706785,7.837581,0.0,233.265735,0.036844,167.357845,46.953945,0.048818,3.159503,8784,2196000,22754,tols4000
