matrix,M,K,density,seed,direction,direction_label,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
Franz6,7576,3016,0.0005,42,1,A_real x S,segfold-dtonly,5856,69180,,0.185169,0.445312,27,35989,69141,11.813525,24.935792,0.0,208.072234,0.0,212.532445,1.575307,0.010758,0.960895,45456,2155752,69074
Franz6,7576,3016,0.001,42,1,A_real x S,segfold-dtonly,10892,138018,,0.241099,0.496094,161,80324,137916,12.671502,39.548568,0.0,193.9731,0.0,207.812064,1.468509,0.0426,1.289479,87600,4311504,137674
Franz6,7576,3016,0.002,42,1,A_real x S,segfold-dtonly,20721,275524,,0.282667,0.574219,1085,158686,275137,13.296849,49.886299,0.0,183.452053,0.0,204.835336,1.874427,0.130061,1.592684,134688,8623482,274161
Franz6,7576,3016,0.004,42,1,A_real x S,segfold-dtonly,39957,550524,,0.319359,0.625,5372,311620,549090,13.777911,59.085442,0.0,174.141602,0.0,203.23753,2.158445,0.242861,1.732713,226800,17246490,545060
Franz6,7576,3016,0.008,42,1,A_real x S,segfold-dtonly,77710,1101066,,0.346082,0.652344,21465,618047,1095449,14.16891,65.598584,0.0,167.350405,0.0,202.706717,2.298417,0.251795,1.676142,423792,34492980,1079349
Franz6,7576,3016,0.016,42,1,A_real x S,segfold-dtonly,151491,2195170,,0.368651,0.675781,61001,1208202,2173004,14.490432,70.978745,0.0,161.598399,0.0,202.175152,2.355387,0.286149,1.794489,810288,68985960,2109237
Franz6,7576,3016,0.032,42,1,A_real x S,segfold-dtonly,294648,4388142,,0.395734,0.726562,90783,2412571,4300669,14.892828,77.274758,0.0,154.678294,0.0,200.960862,2.406716,0.371528,2.025777,1530480,137971920,4051734
Franz8,16728,7176,0.0005,42,1,A_real x S,segfold-dtonly,29356,360918,,0.234675,0.539062,243,200487,360774,12.294522,38.380876,0.0,195.801165,0.0,206.873348,1.920221,0.062338,1.570718,200496,26931362,360434
Franz8,16728,7176,0.001,42,1,A_real x S,segfold-dtonly,54307,721464,,0.298266,0.644531,1480,409281,720979,13.284917,54.203841,0.0,179.56849,0.0,203.412415,2.079824,0.1811,1.843188,302880,53863770,719661
Franz8,16728,7176,0.002,42,1,A_real x S,segfold-dtonly,105382,1439744,,0.322747,0.679688,7406,822233,1437783,13.662143,60.177345,0.0,173.33538,0.0,203.418003,2.207256,0.184197,1.665683,596496,107727540,1432578
