K,density_A,density_B,seed,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
1024,0.001,0.001,42,segfold-dtonly,252,1038,,0.049371,0.109375,0,227,1038,4.119048,2.206349,0.0,238.281746,0.0,224.039683,0.015873,0.0,0.043651,1027,66560,1038
1024,0.001,0.001,43,segfold-dtonly,291,1246,,0.052674,0.113281,0,317,1246,4.281787,3.120275,0.0,236.357388,0.0,223.415808,0.041237,0.0,0.079038,1099,70080,1246
1024,0.001,0.001,44,segfold-dtonly,251,1070,,0.051715,0.121094,0,238,1070,4.262948,2.665339,0.0,236.641434,0.0,220.398406,0.015936,0.0,0.043825,1080,64768,1070
1024,0.001,0.002,42,segfold-dtonly,391,2077,,0.071202,0.15625,0,537,2076,5.31202,6.84399,0.0,232.534527,0.0,217.869565,0.092072,0.0,0.12532,1027,130752,2074
1024,0.001,0.002,43,segfold-dtonly,425,2297,,0.074375,0.167969,0,670,2296,5.404706,7.647059,0.0,232.141176,0.0,217.663529,0.157647,0.0,0.334118,1099,132736,2295
1024,0.001,0.002,44,segfold-dtonly,381,2094,,0.073747,0.175781,0,613,2093,5.496063,7.057743,0.0,231.073491,0.0,217.409449,0.052493,0.0,0.076115,1080,130112,2092
1024,0.001,0.004,42,segfold-dtonly,651,4198,,0.116683,0.253906,1,1196,4193,6.448541,17.806452,0.0,221.410138,0.0,203.981567,0.156682,0.0,0.293395,1027,264832,4191
1024,0.001,0.004,43,segfold-dtonly,717,4657,,0.120516,0.300781,1,1488,4652,6.495119,18.983264,0.0,220.506276,0.0,202.803347,0.146444,0.0,0.97629,1099,271744,4645
1024,0.001,0.004,44,segfold-dtonly,682,4432,,0.118367,0.257812,4,1461,4428,6.498534,18.181818,0.0,221.193548,0.0,204.291789,0.214076,0.0,0.630499,1080,267904,4420
1024,0.001,0.008,42,segfold-dtonly,1147,8213,,0.188041,0.4375,15,2603,8196,7.160418,35.564952,0.0,203.665214,0.0,168.97646,0.148213,0.0,1.539669,1027,528960,8176
1024,0.001,0.008,43,segfold-dtonly,1194,9131,,0.209321,0.476562,15,3200,9125,7.647404,40.370184,0.0,198.855109,0.0,167.922111,0.144054,0.034338,1.985762,1099,540608,9097
1024,0.001,0.008,44,segfold-dtonly,1173,8796,,0.207557,0.507812,24,3095,8784,7.498721,39.826939,0.0,198.823529,0.0,170.104007,0.29156,0.01364,2.115942,1080,533376,8742
1024,0.001,0.016,42,segfold-dtonly,2391,16734,,0.243704,0.609375,67,5402,16688,6.998745,40.927645,0.0,200.501882,0.001255,163.858218,3.401506,0.0,2.051443,1707,1070272,16608
1024,0.001,0.016,43,segfold-dtonly,2575,18156,,0.249172,0.523438,101,6346,18122,7.050874,41.669515,0.0,199.971262,0.000388,168.824466,3.443495,0.0,2.773204,1943,1080000,17991
1024,0.001,0.016,44,segfold-dtonly,2516,17592,,0.242827,0.554688,90,6287,17545,6.992051,41.171701,0.0,200.33744,0.0,166.857313,3.624404,0.0,3.003577,1804,1063360,17408
1024,0.001,0.032,42,segfold-dtonly,4744,33457,,0.27076,0.65625,444,10218,33317,7.052487,41.253583,0.0,202.033516,0.00274,173.121838,4.823145,0.005691,3.850548,2791,2150016,32979
